Element Type,Content,,,,,,,,,,,,,
Text,Enter your email to create or restart your subscription.,,,,,,,,,,,,,
Text,Save over 15% on your Premium or Standard plan with an annual subscription.*,,,,,,,,,,,,,
Text,*Savings compared to 12 months of the Premium or Standard monthly subscription price.,,,,,,,,,,,,,
Text,1,600+ movies,,,,,,,,,,,,
Text,Including award-winning blockbusters and exclusives,,,,,,,,,,,,,
Text,28,000+ episodes,,,,,,,,,,,,
Text,Of comedy, drama, true crime, and more,,,,,,,,,,
Text,New & exclusive,,,,,,,,,,,,,
Text,Movies & series released each week,,,,,,,,,,,,,
Text,Discover new movies and series and revisit the classics. Entertainment for every taste.,,,,,,,,,,,,,
© 2023 TAS Rights Management LLC,,,,,,,,,,,,,,
Text,$8.99 / month,,,,,,,,,,,,,
Text,$12.99 / month,,,,,,,,,,,,,
Text,$15.99 / month,,,,,,,,,,,,,
Text,Save over 15% with an annual subscription.*,,,,,,,,,,,,,
Text,Video quality up to,,,,,,,,,,,,,
Text,1080p Full HD,,,,,,,,,,,,,
Text,1080p Full HD,,,,,,,,,,,,,
Text,4K UHD & HDR,,,,,,,,,,,,,
Text,Concurrent streams,,,,,,,,,,,,,
Text,2,,,,,,,,,,,,,
Text,Enter your email to create or restart your subscription.,,,,,,,,,,,,,
Text,Save over 15% on your Premium or Standard plan with an annual subscription.*,,,,,,,,,,,,,
Text,*Savings compared to 12 months of the Premium or Standard monthly subscription price.,,,,,,,,,,,,,
Text,1,600+ movies,,,,,,,,,,,,
Text,Including award-winning blockbusters and exclusives,,,,,,,,,,,,,
Text,28,000+ episodes,,,,,,,,,,,,
Text,Of comedy, drama, true crime, and more,,,,,,,,,,
Text,New & exclusive,,,,,,,,,,,,,
Text,Movies & series released each week,,,,,,,,,,,,,
Text,Discover new movies and series and revisit the classics. Entertainment for every taste.,,,,,,,,,,,,,
© 2023 TAS Rights Management LLC,,,,,,,,,,,,,,
Text,$8.99 / month,,,,,,,,,,,,,
Text,$12.99 / month,,,,,,,,,,,,,
Text,$15.99 / month,,,,,,,,,,,,,
Text,Save over 15% with an annual subscription.*,,,,,,,,,,,,,
Text,Video quality up to,,,,,,,,,,,,,
Text,1080p Full HD,,,,,,,,,,,,,
Text,1080p Full HD,,,,,,,,,,,,,
Text,4K UHD & HDR,,,,,,,,,,,,,
Text,Concurrent streams,,,,,,,,,,,,,
Text,2,,,,,,,,,,,,,
Text,2,,,,,,,,,,,,,
Text,4,,,,,,,,,,,,,
